Pokemon,Abilities,Base_Experience,Height,ID,Type_1,Type_2,Weight,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Sprites,Base_Pokemon,Evolution_Level_1,Evolution_Level_2
Bulbasaur,Overgrow,64.0,7,1,Grass,Poison,69,45,49,49,65,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,Bulbasaur,Ivysaur,Venusaur
Ivysaur,Overgrow,142.0,10,2,Grass,Poison,130,60,62,63,80,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,Bulbasaur,Ivysaur,Venusaur
Venusaur,Overgrow,263.0,20,3,Grass,Poison,1000,80,82,83,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,Bulbasaur,Ivysaur,Venusaur
Charmander,Blaze,62.0,6,4,Fire,No Second Type,85,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,Charmander,Charmeleon,Charizard
Charmeleon,Blaze,142.0,11,5,Fire,No Second Type,190,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,Charmander,Charmeleon,Charizard
Charizard,Blaze,267.0,17,6,Fire,Flying,905,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,Charmander,Charmeleon,Charizard
Squirtle,Torrent,63.0,5,7,Water,No Second Type,90,44,48,65,50,64,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,Squirtle,Wartortle,Blastoise
Wartortle,Torrent,142.0,10,8,Water,No Second Type,225,59,63,80,65,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,Squirtle,Wartortle,Blastoise
Blastoise,Torrent,265.0,16,9,Water,No Second Type,855,79,83,100,85,105,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,Squirtle,Wartortle,Blastoise
Caterpie,Shield-Dust,39.0,3,10,Bug,No Second Type,29,45,30,35,20,20,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,Caterpie,Metapod,Butterfree
Metapod,Shed-Skin,72.0,7,11,Bug,No Second Type,99,50,20,55,25,25,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,Caterpie,Metapod,Butterfree
Butterfree,Compound-Eyes,198.0,11,12,Bug,Flying,320,60,45,50,90,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,Caterpie,Metapod,Butterfree
Weedle,Shield-Dust,39.0,3,13,Bug,Poison,32,40,35,30,20,20,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,Weedle,Kakuna,Beedrill
Kakuna,Shed-Skin,72.0,6,14,Bug,Poison,100,45,25,50,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,Weedle,Kakuna,Beedrill
